,DEPT,GR,SP,RHOB,DPHI,NPHI,VSHALE,PHIT,PHIE
0,245.0,30.4005,-141.1136,1.7417,0.566257,0.37038200000000004,0.16007796847796207,0.4784505282539669,0.40186113967386405
1,245.5,30.3487,-138.4057,1.7487,0.562139,0.36431600000000003,0.1766203185802865,0.47366992894683535,0.3900101951943436
2,246.0,37.4296,-136.2776,1.7595,0.55585,0.35796,0.18962071566022168,0.46749576687923067,0.3788488849954668
3,246.5,48.36,-135.9672,1.7748,0.54692,0.35037199999999996,0.1915169250740707,0.4592831505640066,0.3713226538296566
4,247.0,58.6819,-138.2207,1.7971,0.533871,0.339815,0.1777504691652158,0.447488814869154,0.3679474680799754
5,247.5,64.9082,-142.6293,1.8259,0.517011,0.326308,0.15081867528024676,0.4323061906710335,0.3671063436785785
6,248.0,64.531,-147.8069,1.8561,0.49935899999999994,0.313131,0.11918912031522028,0.4167795784596457,0.3671039871376922
7,248.5,59.6301,-152.3091,1.8816,0.484441,0.305016,0.09168553132349794,0.4047949127255677,0.3676810760752751
8,249.0,56.1349,-155.3962,1.8983,0.474695,0.305232,0.07282667796817253,0.39906259963131097,0.3700001961988197
9,249.5,57.3016,-157.0958,1.901,0.47312,0.31385799999999997,0.06244395399981672,0.4014656763435699,0.3763965721174667
10,250.0,60.5571,-157.8158,1.8807,0.48497599999999996,0.327821,0.058045530101713545,0.41392531247617603,0.38989879829097895
11,250.5,63.86,-158.0076,1.83,0.514596,0.34263599999999994,0.0568738388466355,0.4371547047167627,0.412292038489653
12,251.0,67.8359,-158.0658,1.756,0.557917,0.354893,0.05651829958153883,0.4675577078489884,0.4411321412451217
13,251.5,70.6517,-158.3525,1.6832,0.60046,0.36284799999999995,0.054766871621002494,0.49609015445985216,0.4689208486581062
14,252.0,71.547,-159.1629,1.6376,0.627132,0.364948,0.04981620116680404,0.5130699699495187,0.48751077311386737
15,252.5,69.5278,-160.5938,1.6285,0.632482,0.359848,0.04107494456153216,0.5145503199046717,0.4934151940404687
16,253.0,64.907,-162.4525,1.6476,0.62127,0.34915300000000005,0.0297202910901372,0.5039266962113637,0.4889498481118708
